ACL Name,Line,Line Text,In Use,Too General?,Source Clusters,Destination Clusters
ACL_IN,55,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 64269,True,False,MSSQL Database,Sharepoint Search
ACL_IN,56,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Search eq 64290,True,False,MSSQL Database,Sharepoint Search
ACL_IN,57,access-list ACL_IN extended permit UDP object Sharepoint_Search any range 137-138,True,False,Sharepoint Search,External
ACL_IN,58,access-list ACL_IN extended permit UDP object Sharepoint_Search any eq 5355,True,False,Sharepoint Search,External
ACL_IN,59,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Web_Servers eq 50014,True,False,Tetration Cluster (172.26.46.0/24),Web Servers
ACL_IN,60,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Web_Servers eq 60474,True,False,Tetration Cluster (172.26.46.0/24),Web Servers
ACL_IN,61,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Web_Servers eq 50006,True,False,Tetration Cluster (172.26.46.0/24),Web Servers
ACL_IN,62,access-list ACL_IN extended permit TCP object Tetration_Cluster_(172.26.46.0/24) object Web_Servers eq 57543,True,False,Tetration Cluster (172.26.46.0/24),Web Servers
ACL_IN,63,access-list ACL_IN extended permit TCP object Web_Servers object MSSQL_Database eq 1433,True,False,Web Servers,MSSQL Database
ACL_IN,64,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End range 50595-50596,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,65,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 50624,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,66,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 51505,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,67,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 52199,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,68,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 60440,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,69,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 61103,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,70,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 61126,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,71,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 61672,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,72,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 61785,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,73,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 61836,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,74,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 61841,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,75,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 62060,True,False,MSSQL Database,Sharepoint Front-End
ACL_IN,76,access-list ACL_IN extended permit TCP object MSSQL_Database object Sharepoint_Front-End eq 64521,True,False,MSSQL Database,Sharepoint Front-End
